filename	au-name	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count
Abbes_Voyage	Abbes de Cabreroles, Guillaume	Voyage dans les espaces	M	1758	1758	autodiegetic	historical	double keying	5601
Anonym_Suzon	"
     Anonym
    "	"
     Mémoires de Suzon, soeur de Dom Bougre
    "	X	"
      1778
     "	"
      1778
     "	"
      autodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	32992
Anonyme_Etourdi	"
     Anonym
    "	"
     L'Étourdi
    "	U	"
      1784
     "	"
      1784
     "	"
      autodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	45509
Anonyme_Zoloe	"
     Anonym
    "	"
     Zoloé et ses deux acolythes
    "	U	"
      1800
     "	"
      1800
     "	"
      heterodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	18089
Arnaud_Epoux	François-Thomas-Marie de Baculard d’Arnaud	Les époux malheureux, ou Histoire de monsieur ou madame de La Bédoyère.	M	1783	1803	autodiegetic	modern	semi-automatic transcription	76729
Arnaud_Matinees	François-Thomas-Marie de Baculard d’Arnaud	Les matinées	M	1798	1799	heterodiegetic	historical 	semi-automatic transcription	80000
Arnaud_Sentiment	     François-Thomas-Marie de Baculard d’Arnaud	"
     Epreuves Du Sentiment
    "	M	"
      1774
     "	"
      unknown
     "	"
      heterodiegetic
     "	"
      historical
     "	"
      semi-automatic transcription
     "	218200
Beauharnais_Lettres	     Fanny de Beauharnais	"
     Lettres de Stéphanie, roman historique
    "	F	"
      1778
     "	"
      1778
     "	"
      epistolary
     "	"
      historical
     "	"
      double keying
     "	38362
Beaumont_Clarice	     Leprince de Beaumont, Jeanne-Marie	"
     La nouvelle Clarice, histoire véritable 
    "	F	"
      1767
     "	"
      1767
     "	"
      epistolary
     "	"
      historical
     "	"
      double keying
     "	3240
Beckford_Vathek	     William Beckford	"
     Vathek: conte arabe
    "	M	"
      1787
     "	"
      1787
     "	"
      heterodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	35145
Benoist_Elisabeth	Françoise-Albine Puzin de La Martinière Benoist	Elisabeth: Roman Par Madame ***	F	1766	1766	epistolary	historical	double keying	84712
Benouville_Pensees	     Bonne-Charlotte de Bénouville	"
     Les pensées errantes ; avec quelques lettres d'un Indien
    "	F	"
      1758
     "	"
      1758
     "	"
      epistolary
     "	"
      historical
     "	"
      double keying
     "	38987
Bernardin_Chaumiere	Jacques Henri Bernardin de Saint-Pierre	Chaumière Indienne	M	1791	1829	heterodiegetic	modern	semi-automatic transcription	13514
Bernardin_Paul	     Jacques Henri Bernardin de Saint-Pierre	"
     Paul et Virginie
    "	M	"
      1787
     "	"
      1787
     "	"
      homodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	64366
Berquin_Enfants	     Arnaud Berquin	"
     L'ami des Enfants
    "	M	"
      1782-1783
     "	"
      1845
     "	"
      mixed
     "	"
      modern
     "	"
      semi-automatic transcription
     "	38322
Boufflers_Reine	Stanislas-Jean de Boufflers	La Reine de Golgonde	M	1761	1761	homodiegetic	modern	semi-automatic transcription	4430
Cazotte_Diable	     Jacques Cazotte	"
     Le Diable amoureux
    "	M	"
      1772
     "	"
      1871
     "	"
      autodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	26069
Cazotte_Ollivier	Jacques Cazotte	Ollivier	M	1763	1817	heterodiegetic	historical	semi-automatic transcription	59530
Charriere_Femmes	     Isabelle de Charrière	"
     Trois Femmes
    "	F	"
      1796
     "	"
      unknown
     "	"
      heterodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	40363
Charriere_Lausanne	     Isabelle de Charrière	"
     Lettres écrites de Lausanne
    "	F	"
      1785
     "	"
      1845
     "	"
      autodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	53753
Chevrier_Colporteur	François-Antoine Chevrier	Le Colporteur : histoire morale et critique	M	1761	1761	heterodiegetic	modern	semi-automatic transcription	42998
Constant_Laure1	Samuel de Constant de Rebecque	Laure, ou Lettres de quelques personnes de Suisse, Partie 1	M	1787	1787	epistolary	historical	double keying	36333
Constant_Laure2	Samuel de Constant de Rebecque	Laure, ou Lettres de quelques personnes de Suisse, Partie 2	M	1787	1787	epistolary	historical	double keying	39153
Cottin_Claire	     Sophie Cottin	"
     Claire d’Albe
    "	F	"
      1798
     "	"
      1824
     "	"
      epistolary
     "	"
      modern
     "	"
      semi-automatic transcription
     "	40118
Crebillon_Atheniennes	     Claude Prosper Jolyot de Crébillon	"
     Lettres athéniennes extraites du porte-feuille d'Alcibiade
    "	M	"
      1771
     "	"
      1771
     "	NA	"
      modern
     "	"
      semi-automatic transcription
     "	181358
Crebillon_Conte	Claude Prosper Jolyot de Crébillon	Ah quel conte !	M	1751	1779	heterodiegetic	historical	semi-automatic transcription	135939
Crebillon_Nuit	     Claude Prosper Jolyot de Crébillon	"
     La Nuit et le moment, ou les Matines de Cythère, dialogue
    "	M	"
      1755
     "	"
      1756
     "	"
      dialogue novel
     "	"
      modern
     "	"
      semi-automatic transcription
     "	32277
Diderot_Jacques	     Denis Diderot	"
     Jacques le fataliste et son maître
    "	M	"
      1778-1780
     "	"
      1780
     "	"
      dialogue novel
     "	"
      modern
     "	"
      semi-automatic transcription
     "	93744
Diderot_Neveu	     Denis Diderot	"
     Le Neveu de Rameau
    "	M	"
      1762
     "	"
      1862
     "	"
      dialogue novel
     "	"
      modern
     "	"
      semi-automatic transcription
     "	33210
Diderot_Religieuse	     Denis Diderot	"
     La Religieuse
    "	M	"
      1780-1782
     "	"
      1782
     "	"
      autodiegetic
     "	"
      modern
     "	"
      semi-automatic transcription
     "	82140
Diderot_Supplement	     Denis Diderot	"
     Supplément au voyage de Bougainville
    "	M	"
      1796
     "	"
      1796
     "	"
      dialogue novel
     "	"
      modern
     "	NA	15826
Dorat_Malheurs	Claude-Joseph Dorat	Les Malheurs de l'inconstance ou Lettres de la marquise de Circé et du comte de Mirbelle	M	1772	1775	epistolary	historical	semi-automatic transcription	68517
Dorat_Sacrifices	     Claude-Joseph Dorat	"
     Les Sacrifices de l’amour
    "	M	"
      1771
     "	"
      1771
     "	"
      epistolary
     "	"
      historical
     "	"
      semi-automatic transcription
     "	75519
Duclos_Acajou	     Charles Pinot Duclos	"
     Acajou et Zirphile
    "	M	"
      unknown
     "	"
      1744
     "	"
      heterodiegetic
     "	"
      historical
     "	"
      semi-automatic transcription
     "	12297
Ducray_Cinquante	François Guillaume Ducray-Duminil	Les Cinquante francs de Jeannette, par le Cen Ducray-Duminil	M	1798	1798	heterodiegetic	historical	double keying	72560
Dulaurens_Imirce	     Henri-Joseph Dulaurens	"
     Imirce ou la Fille de nature
    "	M	"
      1765
     "	"
      1765
     "	"
      autodiegetic
     "	"
      modern
     "	"
      OCR
     "	71731
Fievee_Dot	     Joseph Fiévée	"
     La Dot de Suzette, ou Histoire de Mme de Senneterre racontée par elle-même
    "	M	"
      1797
     "	"
      1826
     "	"
      heterodiegetic
     "	"
      historical
     "	"
      semi-automatic transcription
     "	33262
Florian_Estelle	     Jean-Pierre Claris de Florian	"
     Estelle
    "	M	"
      1788
     "	"
      1788
     "	"
      heterodiegetic
     "	"
      historical
     "	"
      double keying
     "	38171
Fourqueux_Zely	     Marie-Louise Auget de Monthyon, Madame de Fourqueux	"
     Zély
    "	F	NA	NA	"
      heterodiegetic
     "	"
      historical
     "	"
      double keying
     "	25485
Genlis_Adele	Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	Adèle et Théodore	F	1782	1782	epistolary	historical	semi-automatic transcription	262122
Genlis_Chevaliers	     Stéphanie Félicité Ducrest de Saint-Aubin de Genlis	"
     Les Chevaliers du cygne
    "	F	"
      1795
     "	"
      1795
     "	"
      heterodiegetic
     "	"
      historical
     "	"
      semi-automatic transcription
     "	193036
Gerard_Comte	     Philippe Louis Gérard	"
     Le Comte de Valmont ou les égarements de la raison, lettres recueillies et publiées
    "	M	"
      1774
     "	"
      1774
     "	"
      epistolary
     "	"
      historical
     "	"
      semi-automatic transcription
     "	180258
